,Year,War Name,War Type & Number
0,1816,Allied Bombardment of Algiers of 1816,Extra-State War #300
1,1816,Ottoman-Wahhabi Revolt of 1816-1818,Extra-State War #301
2,1817,Liberation of Chile of 1817-1818,Extra-State War #302
3,1817,First Bolivar Expedition of 1817-1819,Extra-State War #303
4,1817,War of Mexican Independence of 1817-1818,Extra-State War #304
5,1817,British-Kandyan War of 1817-1818,Extra-State War #305
6,1817,British-Maratha of 1817-1818,Extra-State War #306
7,1818,First Maori Tribal War of 1818-1824,Non-State War #1500
8,1818,First Caucasus War of 1818-1822,Intra-State War #500
9,1819,Shaka Zulu-Bantu War of 1819-1828,Non-State War #1501
10,1819,Burma-Assam War of 1819-1822,Non-State War #1502
11,1820,Buenos Aires War of 1820,Non-State War #1503
12,1820,Sidon-Damascus War of 1820-1821,Intra-State War #501
13,1820,First Two Sicilies War of 1820-1821,Intra-State War #502
14,1820,Ottoman Conquest of Sudan of 1820-1821,Extra-State War #307
15,1821,Sardinian Revolt of 1821,Intra-State War #505
16,1821,Greek Independence War of 1821-1828,Intra-State War #506
17,1821,Second Bolívar Expedition of 1821-1822,Extra-State War #308
18,1821,Turco-Persian War of 1821-1823,Extra-State War #309
19,1821,Second Maori Tribal War of 1821-1823,Non-State War #1505
20,1821,Siam-Kedah War of 1821,Non-State War #1506
21,1821,Spanish Royalists War of 1821-1823,Intra-State War #503
22,1823,Franco-Spanish War of 1823,Inter-State War #1
23,1823,First British-Burmese War of 1823-1826,Extra-State War #310
24,1824,First British-Ashanti War of 1824-1826,Extra-State War #311
25,1824,Liberation of Peru of 1824-1825,Extra-State War #312
26,1824,Egypt-Mehdi War of 1824,Intra-State War #507
27,1825,China-Kashgaria War of 1825-1828,Non-State War #1508
28,1825,Dutch-Javanese War of 1825-1830,Extra-State War #313
29,1825,Mexico-Yaqui Indian War of 1825-1827,Non-State War #1509
30,1825,British-Bharatpuran War of 1825-1826,Extra-State War #314
31,1826,Brazil-Argentine War of 1826-1828,Extra-State War #315
32,1826,Central American Confederation War of 1826-1829,Non-State War #1510
33,1826,Viang Chan-Siamese War of 1826-1827,Non-State War #1511
34,1826,Janissari Revolt of 1826,Intra-State War #508
35,1826,Russo-Persian War of 1826-1828,Extra-State War #316
36,1828,First Russo-Turkish War of 1828-1829,Inter-State War #4
37,1828,Peru-Gran Colombia War of 1828-1829,Non-State War #1512
38,1828,Miguelite War of 1828-1834,Intra-State War #510
39,1829,Argentine War for Unity of 1829-1831,Non-State War #1513
40,1829,Spanish Reconquest of Mexico of 1829,Extra-State War #317
41,1829,Sayyid Said War of 1829-1830,Non-State War #1514
42,1830,First Murid War of 1830-1832,Intra-State War #511
43,1830,First Albanian Revolt of 1830-1831,Intra-State War #512
44,1830,French Occupation of Algiers of 1830,Extra-State War #319
45,1830,First French Insurrection of 1830,Intra-State War #513
46,1830,Belgian Independence War of 1830,Intra-State War #515
47,1830,China-Kokand War of 1830-1831,Non-State War #1515
48,1831,Egyptian Taka Expedition of 1831-1832,Intra-State War #516
49,1831,First Polish War of 1831,Intra-State War #517
50,1831,Siam-Cambodia-Vietnam War of 1831-1834,Non-State War #1516
51,1831,First Syrian War of 1831-1832,Intra-State War #518
52,1832,First Mexican War of 1832,Intra-State War #520
53,1832,Ottoman-Bilmez-Asiri War of 1832-1837,Extra-State War #320
54,1833,Argentine-Ranqueles Indian War of 1833-1834,Non-State War #1518
55,1834,Egypt-Palestinian Anti-Conscription Revolt of 1834,Intra-State War #521
56,1834,First Carlist War of 1834-1840,Intra-State War #522
57,1834,Second Murid War of 1834,Intra-State War #523
58,1835,Cabanos Revolt of 1835-1837,Intra-State War #525
59,1835,Bolivia Conquest of Peru in 1835-1836,Non-State War #1520
60,1835,Farroupilha War of 1835-1845,Intra-State War #526
61,1835,Texan War of 1835-1836,Intra-State War #527
62,1836,First Bosnian War of 1836-1837,Intra-State War #528
63,1836,Third Murid War of 1836-1852,Intra-State War #530
64,1836,Boer-Matabele War of 1836-1837,Non-State War #1521
65,1837,Druze Rebellion of 1837-1838,Intra-State War #532
66,1837,Sabinada Rebellion of 1837-1838,Intra-State War #531
67,1837,Dissolution of the Bolivia-Peru Confederation of,1837-1839 War #War
68,1837,Persian Siege of Herat of 1837-1838,Non-State War #1524
69,1838,Boer-Zulu War of 1838,Non-State War #1525
70,1838,First British-Zulu War of 1838,Extra-State War #321
71,1839,First British-Afghan War of 1839-1842,Extra-State War #322
72,1839,Anti-Rosas War of 1839-1840,Non-State War #1527
73,1839,Dissolution of the Central American Confederation of 1839-1840,Non-State War #1528
74,1839,Second Syrian War Phase 1 of 1839,Intra-State War #533
75,1839,First Opium War of 1839-1842,Extra-State War #323
76,1839,First Franco-Algerian War 1839-1847,Extra-State War #324
77,1840,Lebanon Insurgency of 1840,Intra-State War #535
78,1840,First Colombian War of 1840-1842,Intra-State War #536
79,1840,Second Syrian War Phase 2 of 1840,Intra-State War #537
80,1841,First Argentina War Phase 2 of 1841-1842,Intra-State War #538
81,1841,Second Bosnian War of 1841,Intra-State War #540
82,1841,Dogra-Tibet War of 1841-1842,Non-State War #1530
83,1841,Triangular Revolt of 1841,Intra-State War #541
84,1841,Peru-Bolivian War of 1841,Extra-State War #325
85,1842,Karbala Revolt of 1842-1843,Intra-State War #542
86,1843,British-Sind War of 1843,Extra-State War #326
87,1843,Uruguay War of 1843-1851,Extra-State War #327
88,1843,Gwalior War of 1843,Extra-State War #329
89,1844,First Haiti-Santo Domingo War of 1844-1845,Non-State War #1531
90,1844,Franco-Moroccan War of 1844,Extra-State War #330
91,1845,First Maronite-Druze War of 1845,Intra-State War #543
92,1845,First British-Sikh War of 1845-1846,Extra-State War #331
93,1846,Cracow Revolt of 1846,Extra-State War #332
94,1846,First British-Xhosa War of 1846-1847,Extra-State War #333
95,1846,Mexican-American War of 1846-1847,Inter-State War #7
96,1847,Mayan Caste War Phase 1 of 1847-1848,Intra-State War #545
97,1847,Second Carlist War of 1847-1849,Intra-State War #546
98,1847,War of Seven Khojas 1847,Non-State War #1533
99,1848,Second Two Sicilies War of 1848-1849,Intra-State War #547
100,1848,First Venezuelan War of 1848-1849,Intra-State War #548
101,1848,Viennese Revolt of 1848,Intra-State War #550
102,1848,Milan Five Day Revolt of 1848,Intra-State War #551
103,1848,Austro-Sardinian War of 1848-1849,Inter-State War #10
104,1848,First Schleswig-Holstein War of 1848-1849,Inter-State War #13
105,1848,First Dutch-Bali War of 1848-1849,Extra-State War #334
106,1848,Second British-Sikh War of 1848-1849,Extra-State War #335
107,1848,Second French Insurrection of 1848,Intra-State War #552
108,1848,Mayan Caste War Phase 2 of 1848-1855,Intra-State War #553
109,1848,Hungarian War of 1848-1849,Intra-State War #554
110,1849,War of the Roman Republic of 1849,Inter-State War #16
111,1849,Chinese Pirates War of 1849,Extra-State War #336
112,1850,Taiping Rebellion Phase 1 of 1850-1860,Non-State War #1534
113,1850,Second British-Xhosa War of 1850-1852,Extra-State War #337
114,1851,Ottoman-Yam Rebellion of 1851,Extra-State War #338
115,1851,La Plata War of 1851-1852,Inter-State War #19
116,1851,First Chilean War of 1851,Intra-State War #555
117,1852,Second British-Burmese War of 1852,Extra-State War #339
118,1852,First Tukulor War of 1852-1854,Non-State War #1535
119,1852,Kashmir-Dards of Chilas War of 1852,Non-State War #1536
120,1852,First Turco-Montenegrin War of 1852-1853,Intra-State War #556
121,1853,Crimean War of 1853-1856,Inter-State War #22
122,1853,First Peru War of 1853-1855,Intra-State War #557
123,1854,Han-Miao War of 1854-1860,Non-State War #1537
124,1854,French-Tukulor War of 1854-1857,Extra-State War #340
125,1855,Second Haiti-Santo Domingo War of 1855-1856,Non-State War #1538
126,1855,Han-Nien War of 1855-1858,Non-State War #1539
127,1855,British-Santal War of 1855-1856,Extra-State War #341
128,1855,Puebla War of 1855-1856,Intra-State War #558
129,1856,Hodeida Seige of 1856,Extra-State War #342
130,1856,Filibuster War of 1856-1857,Non-State War #1540
131,1856,French Conquest of Kabylia of 1856-1857,Extra-State War #345
132,1856,Han-Panthay War Phase 1 of 1856-1860,Non-State War #1541
133,1856,Second Opium War of 1856-1860,Extra-State War #343
134,1856,Anglo-Persian War of 1856-1857,Inter-State War #25
135,1856,Second Peru War of 1856-1858,Intra-State War #560
136,1856,First Zulu Internecine War of 1856,Non-State War #1542
137,1857,Indian Mutiny of 1857-1859,Extra-State War #347
138,1857,Kucha and Khoja Uprising of 1857,Non-State War #1543
139,1858,Mexican Reform War of 1858-1861,Intra-State War #561
140,1858,Second Turco-Montenegrin War of 1858-1859,Intra-State War #562
141,1858,First Boer-Basuto War of 1858,Non-State War #1544
142,1858,First Ethiopian War of 1858-1861,Non-State War #1545
143,1858,First Franco-Vietnamese War of 1858-1862,Extra-State War #349
144,1859,Second Venezuelan/Federalist War of 1859-1863,Intra-State War #563
145,1859,Netherlands-Bone War of 1859-1860,Extra-State War #350
146,1859,War of Italian Unification of 1859,Inter-State War #28
147,1859,Argentine-Buenos Aires War of 1859,Extra-State War #351
148,1859,First Spanish-Moroccan War of 1859-1860,Inter-State War #31
149,1860,Garibaldi Expedition of 1860,Extra-State War #352
150,1860,Second Colombian War of 1860-1861,Intra-State War #565
151,1860,Second Maronite-Druze War of 1860,Intra-State War #566
152,1860,Second Tukulor War of 1860-1862,Non-State War #1546
153,1860,Italian-Roman War of 1860,Inter-State War #34
154,1860,Neapolitan War of 1860-1861,Inter-State War #37
155,1860,Taiping Rebellion Phase 2 of 1860-1866,Intra-State War #567
156,1860,Second Nien Revolt of 1860-1868,Intra-State War #568
157,1860,Miao Revolt Phase 2 of 1860-1872,Intra-State War #570
158,1860,Panthay Rebellion Phase 2 of 1860-1872,Intra-State War #571
159,1861,U.S. Civil War of 1861-1865,Intra-State War #572
160,1861,Third Buenos Aires War of 1861,Intra-State War #573
161,1861,Third Turco-Montenegrin War of 1861-1862,Intra-State War #575
162,1862,Transvaal War of 1862-1864,Non-State War #1548
163,1862,Franco-Mexican War of 1862-1867,Inter-State War #40
164,1862,Tungan Rebellion of 1862-1873,Intra-State War #576
165,1862,Sioux-Minnesota War of 1862,Intra-State War #577
166,1862,Bolivan Pérez Rebellion of 1862,Intra-State War #578
167,1863,Second Polish War of 1863-1864,Intra-State War #580
168,1863,Central American War of 1863,Non-State War #1550
169,1863,Second Argentina War of 1863,Intra-State War #581
170,1863,Spanish-Santo Dominican War of 1863-1865,Extra-State War #353
171,1863,British-Maori War of 1863-1866,Extra-State War #355
172,1863,Shimonoseki War of 1863-1864,Extra-State War #356
173,1863,British Umbeyla Campaign of 1863,Extra-State War #357
174,1863,Ecuadorian-Columbian War of 1863,Inter-State War #43
175,1864,Second Schleswig-Holstein War of 1864,Inter-State War #46
176,1864,Russian-Kokand War of 1864-1865,Extra-State War #359
177,1864,Xinjiang Muslim Revolt of 1864-1871,Intra-State War #582
178,1864,Lopez War of 1864-1870,Inter-State War #49
179,1864,First Australian Aboriginal War of 1864-1865,Non-State War #1551
180,1865,British-Bhutanese War of 1865,Extra-State War #360
181,1865,Second Boer-Basuto War of 1865-1866,Non-State War #1552
182,1865,Naval War of 1865-1866,Inter-State War #52
183,1866,Russian-Bukharan War of 1866,Extra-State War #361
184,1866,First Cretan War of 1866-1867,Intra-State War #583
185,1866,Seven Weeks War of 1866,Inter-State War #55
186,1866,Yellow Cliff Revolt of 1866,Intra-State War #585
187,1866,Third Argentina War of 1866-1867,Intra-State War #586
188,1867,Queretaro War of 1867,Intra-State War #587
189,1867,British-Ethiopian War of 1867-1868,Extra-State War #362
190,1868,Meiji Restoration of 1868,Intra-State War #588
191,1868,Third Venezuelan War of 1868-1871,Intra-State War #590
192,1868,Second Ethiopian War of 1868-1872,Non-State War #1553
193,1868,Spanish Liberals War of 1868,Intra-State War #591
194,1868,First Spanish-Cuban War of 1868-1878,Extra-State War #363
195,1869,Guerre des Cacos of 1869,Intra-State War #592
196,1869,Attack on Bahr el-Ghazal of 1869-1870,Extra-State War #364
197,1870,Uruguay Colorados-Blancos War of 1870-1872,Non-State War #1554
198,1870,Fourth Argentina War of 1870-1871,Intra-State War #593
199,1870,Franco-Prussian War of 1870-1871,Inter-State War #58
200,1870,Bolivia-Criollos War of 1870-1871,Intra-State War #595
201,1870,Ottoman Conquest of Arabia of 1870-1872,Extra-State War #365
202,1871,Second Franco-Algerian War of 1871-1872,Extra-State War #366
203,1871,Paris Commune War of 1871,Intra-State War #596
204,1872,Third Carlist War of 1872-1876,Intra-State War #597
205,1873,Second British-Ashanti War of 1873-1874,Extra-State War #367
206,1873,First Dutch-Achinese War of 1873-1878,Extra-State War #370
207,1873,Second Franco-Vietnamese War of 1873-1874,Extra-State War #369
208,1874,Catonalist Uprising of 1874-1875,Intra-State War #598
209,1874,Fifth Argentina War of 1874,Intra-State War #600
210,1875,Bosnia and Bulgaria Revolt of 1875-1876,Intra-State War #601
211,1875,Kokand Rebellion of 1875-1876,Extra-State War #371
212,1875,Egypt-Ethiopian War of 1875-1876,Extra-State War #372
213,1876,Diaz Revolt of 1876,Intra-State War #602
214,1876,First Central American War of 1876,Inter-State War #60
215,1876,Defeat of Xinjiang Muslims of 1876-1877,Intra-State War #603
216,1876,Serbian-Turkish War of 1876-1877,Extra-State War #373
217,1876,Third Colombian War of 1876-1877,Intra-State War #605
218,1877,Satsuma Rebellion of 1877,Intra-State War #607
219,1877,Second Russo-Turkish War of 1877-1878,Inter-State War #61
220,1877,Third British-Xhosa War of 1877-1878,Extra-State War #374
221,1878,Egypt-Sudanese Slavers War of 1878-1879,Extra-State War #375
222,1878,Russo-Turkoman War of 1878-1881,Extra-State War #376
223,1878,Austrian-Bosnian War of 1878,Extra-State War #377
224,1878,Second British-Afghan War of 1878-1880,Extra-State War #379
225,1879,Second British-Zulu War of 1879,Extra-State War #380
226,1879,War of the Pacific of 1879-1883,Inter-State War #64
227,1879,Argentine Indians War of 1879-1880,Intra-State War #608
228,1880,Fourth Buenos Aires War of 1880,Intra-State War #610
229,1880,Gun War of 1880-1881,Extra-State War #381
230,1880,First Boer War of 1880-1881,Extra-State War #382
231,1881,Franco-Tunisian War of 1881-1882,Extra-State War #383
232,1881,First British-Mahdi War of 1881-1885,Extra-State War #384
233,1882,Third Franco-Vietnamese War of 1882-1884,Extra-State War #385
234,1882,Conquest of Egypt of 1882,Inter-State War #65
235,1883,Haitian Civil War of 1883-1884,Intra-State War #611
236,1883,Second Zulu Internecine War of 1883-1884,Non-State War #1556
237,1883,First Franco-Madagascan War of 1883-1885,Extra-State War #386
238,1883,Oman-Ibadi War of 1883-1884,Non-State War #1557
239,1884,Sino-French War of 1884-1885,Inter-State War #67
240,1884,Second Australian Aboriginal War of 1884-1894,Non-State War #1558
241,1884,Fourth Colombian War of 1884-1885,Intra-State War #612
242,1885,Peru's National Problem of 1885,Intra-State War #613
243,1885,Second Central American War of 1885,Inter-State War #70
244,1885,Russo-Afgan War of 1885,Extra-State War #390
245,1885,Ethiopia-Mahdi War of 1885-1889,Non-State War #1559
246,1885,French Mandinka War of 1885-1886,Extra-State War #389
247,1885,Serbian-Bulgarian War of 1885,Extra-State War #391
248,1885,Third British-Burmese War of 1885-1889,Extra-State War #387
249,1887,First Italian-Ethiopian War of 1887,Extra-State War #392
250,1888,Zambezi Conquest of 1888,Extra-State War #393
251,1888,German East Africa Company War of 1888-1889,Non-State War #1560
252,1890,First Franco-Dahomeyan War of 1890,Extra-State War #394
253,1890,First Yemeni Rebellion of 1890-1892,Intra-State War #616
254,1890,Franco-Jolof War of 1890-1891,Extra-State War #395
255,1891,Second Chilean War of 1891,Intra-State War #617
256,1891,Zaili-Jinden Revolt of 1891,Intra-State War #618
257,1892,Second Franco-Dahomeyan War of 1892-1893,Extra-State War #396
258,1892,Belgian-TibWar of 1892-1894,Extra-State War #397
259,1893,Brazil Federalists War of 1893-1894,Intra-State War #620
260,1893,Rabih Zubayr-Bornu War of 1893,Non-State War #1561
261,1893,Brazil Naval War of 1893-1894,Intra-State War #621
262,1893,Third British-Ashanti War of 1893-1894,Extra-State War #398
263,1893,Melilla War of 1893-1894,Extra-State War #399
264,1893,Mahdist-Italian War of 1893-1894,Extra-State War #400
265,1894,Tonghak Rebellion of 1894,Intra-State War #623
266,1894,Second Franco-Madagascan War of 1894-1895,Extra-State War #401
267,1894,Second Dutch-Bali War of 1894,Extra-State War #402
268,1894,First Sino-Japanese War of 1894-1895,Inter-State War #73
269,1894,Third Peru War of 1894-1895,Intra-State War #625
270,1895,Fifth Colombian War of 1895,Intra-State War #626
271,1895,Portuguese-Gaza Empire War of 1895,Extra-State War #403
272,1895,Ecuador Liberals War of 1895,Intra-State War #627
273,1895,Second Spanish-Cuban War of 1895-1898,Extra-State War #404
274,1895,First Gansu Muslim War of 1895-1896,Intra-State War #628
275,1895,Japan-Taiwanese War of 1895,Extra-State War #405
276,1895,Mazrui Rebellion of 1895-1896,Extra-State War #406
277,1895,Druze-Turkish War of 1895-1896,Intra-State War #630
278,1895,Second Italian-Ethiopian War of 1895-1896,Extra-State War #407
279,1896,Second Cretan War of 1896-1897,Intra-State War #631
280,1896,Second Second British-Mahdi War of 1896-1899,Extra-State War #409
281,1896,Spanish-Philippine War of 1896-1898,Extra-State War #410
282,1896,Third Brazil-Canudos War of 1896-1897,Intra-State War #632
283,1897,British-South Nigerian War of 1897,Extra-State War #411
284,1897,Greco-Turkish War of 1897,Inter-State War #76
285,1897,British-Pathan War of 1897-1898,Extra-State War #412
286,1898,Hut Tax War of 1898,Extra-State War #413
287,1898,Spanish-American War of 1898,Inter-State War #79
288,1899,American-Philippine War of 1899-1902,Extra-State War #414
289,1899,Fourth Venezuelan War of 1899,Intra-State War #633
290,1899,French Conquest of Chad of 1899-1900,Extra-State War #415
291,1899,Second Yaqui War of 1899-1900,Intra-State War #635
292,1899,Second Boer War of 1899-1902,Extra-State War #416
293,1899,"Sixth Colombian (War of the 1,000 Days) of 1899-1902",Intra-State War #63
294,1900,Last Ashanti War of 1900,Extra-State War #417
295,1900,Boxer Rebellion of 1900,Inter-State War #82
296,1900,Sino-Russian War of 1900,Inter-State War #83
297,1901,Somali Rebellion of 1901-1904,Extra-State War #419
298,1901,Fifth Venezuelan War of 1901-1903,Intra-State War #638
299,1902,Bailundu Revolt of 1902-1903,Extra-State War #420
300,1902,Kuanhama Rebellion of 1902-1904,Extra-State War #421
301,1903,British Conquest of Kano and Sokoto of 1903,Extra-State War #422
302,1903,Ilinden War of 1903,Intra-State War #640
303,1904,First Uruguay War of 1904,Intra-State War #641
304,1904,South West African Revolt of 1904-1906,Extra-State War #423
305,1904,Russo-Japanese War of 1904-1905,Inter-State War #85
306,1904,Second Dutch-Achinese War of 1904-1907,Extra-State War #424
307,1904,Younghusband Expedition of 1904,Extra-State War #425
308,1904,Second Yemeni Rebellion of 1904-1906,Intra-State War #642
309,1905,Bloody Sunday War of 1905-1906,Intra-State War #643
310,1905,Maji-Maji Revolt of 1905-1906,Extra-State War #426
311,1906,Sokoto Uprising of 1906,Extra-State War #427
312,1906,Third British-Zulu War of 1906,Extra-State War #429
313,1906,Third Central American War of 1906,Inter-State War #88
314,1907,Fourth Central American War of 1907,Inter-State War #91
315,1907,Romanian Peasant Revolt of 1907,Intra-State War #645
316,1907,Dembos War of 1907-1910,Extra-State War #430
317,1907,Anti-Foreign Revolt of 1907-1910,Extra-State War #431
318,1907,Japan-Korean Guerrillas War of 1907-1910,Extra-State War #432
319,1907,Overthrow of Abd el-Aziz of 1907-1908,Intra-State War #646
320,1908,Iranian Constitution War of 1908-1909,Intra-State War #647
321,1909,Young Turks Counter-coup of 1909,Intra-State War #648
322,1909,French Conquest of Wadai of 1909-1911,Extra-State War #433
323,1909,Second Spanish-Moroccan War of 1909-1910,Inter-State War #94
324,1910,Second Albanian Revolt of 1910-1912,Intra-State War #650
325,1910,Asir-Yemen Revolt of 1910-1911,Intra-State War #651
326,1910,Third Mexican War of 1910-1914,Intra-State War #652
